run,source_txt,table_id,table_title,variable_type,variable_value,method,mean_asr,mean_ap50,successful,total
evaluation_results_mw2,evaluation_results_mw2.txt,1,俯仰角 pitch,pitch,pitch5,fca,0.0976,0.7486,287,2940
evaluation_results_mw2,evaluation_results_mw2.txt,1,俯仰角 pitch,pitch,pitch10,fca,0.065,0.7558,191,2940
evaluation_results_mw2,evaluation_results_mw2.txt,1,俯仰角 pitch,pitch,pitch20,fca,0.0949,0.6985,279,2940
evaluation_results_mw2,evaluation_results_mw2.txt,1,俯仰角 pitch,pitch,pitch30,fca,0.2527,0.5606,711,2814
evaluation_results_mw2,evaluation_results_mw2.txt,1,俯仰角 pitch,pitch,pitch40,fca,0.4663,0.5057,1410,3024
evaluation_results_mw2,evaluation_results_mw2.txt,1,俯仰角 pitch,pitch,pitch50,fca,0.671,0.5514,2029,3024
evaluation_results_mw2,evaluation_results_mw2.txt,1,俯仰角 pitch,pitch,pitch60,fca,0.8287,0.4768,2506,3024
evaluation_results_mw2,evaluation_results_mw2.txt,1,俯仰角 pitch,pitch,pitch70,fca,0.9071,0.3961,2743,3024
evaluation_results_mw2,evaluation_results_mw2.txt,1,俯仰角 pitch,pitch,pitch80,fca,0.9692,0.3,2931,3024
evaluation_results_mw2,evaluation_results_mw2.txt,1,俯仰角 pitch,pitch,pitch89,fca,0.9828,0.2346,2972,3024
evaluation_results_mw2,evaluation_results_mw2.txt,1,俯仰角 pitch,pitch,pitch5,ori,0.0476,0.7941,140,2940
evaluation_results_mw2,evaluation_results_mw2.txt,1,俯仰角 pitch,pitch,pitch10,ori,0.0133,0.8037,39,2940
evaluation_results_mw2,evaluation_results_mw2.txt,1,俯仰角 pitch,pitch,pitch20,ori,0.0221,0.7831,65,2940
evaluation_results_mw2,evaluation_results_mw2.txt,1,俯仰角 pitch,pitch,pitch30,ori,0.0576,0.7584,162,2814
evaluation_results_mw2,evaluation_results_mw2.txt,1,俯仰角 pitch,pitch,pitch40,ori,0.1832,0.7572,554,3024
evaluation_results_mw2,evaluation_results_mw2.txt,1,俯仰角 pitch,pitch,pitch50,ori,0.3859,0.7893,1167,3024
evaluation_results_mw2,evaluation_results_mw2.txt,1,俯仰角 pitch,pitch,pitch60,ori,0.6462,0.7034,1954,3024
evaluation_results_mw2,evaluation_results_mw2.txt,1,俯仰角 pitch,pitch,pitch70,ori,0.8476,0.6062,2563,3024
evaluation_results_mw2,evaluation_results_mw2.txt,1,俯仰角 pitch,pitch,pitch80,ori,0.9554,0.4274,2889,3024
evaluation_results_mw2,evaluation_results_mw2.txt,1,俯仰角 pitch,pitch,pitch89,ori,0.9749,0.3395,2948,3024
evaluation_results_mw2,evaluation_results_mw2.txt,1,俯仰角 pitch,pitch,pitch5,rauca,0.4483,0.4565,1318,2940
evaluation_results_mw2,evaluation_results_mw2.txt,1,俯仰角 pitch,pitch,pitch10,rauca,0.451,0.3987,1326,2940
evaluation_results_mw2,evaluation_results_mw2.txt,1,俯仰角 pitch,pitch,pitch20,rauca,0.5983,0.2217,1759,2940
