========== 热力图评估汇总（按 angle, pitch 组合）==========
方法数量：9

组合 (angle80, pitch60)：AP@0.5 = 0.1770
组合 (angle100, pitch60)：AP@0.5 = 0.1682
组合 (angle120, pitch60)：AP@0.5 = 0.2266
组合 (angle140, pitch60)：AP@0.5 = 0.2573
组合 (angle160, pitch60)：AP@0.5 = 0.2467
组合 (angle180, pitch60)：AP@0.5 = 0.1818
组合 (angle200, pitch60)：AP@0.5 = 0.2325
组合 (angle220, pitch60)：AP@0.5 = 0.3063
组合 (angle240, pitch60)：AP@0.5 = 0.2460
组合 (angle260, pitch60)：AP@0.5 = 0.0909
组合 (angle280, pitch60)：AP@0.5 = 0.1308
组合 (angle300, pitch60)：AP@0.5 = 0.1818
组合 (angle320, pitch60)：AP@0.5 = 0.2476
组合 (angle340, pitch60)：AP@0.5 = 0.2476
组合 (angle0, pitch70)：AP@0.5 = 0.2166
组合 (angle20, pitch70)：AP@0.5 = 0.1553
组合 (angle40, pitch70)：AP@0.5 = 0.1621
组合 (angle60, pitch70)：AP@0.5 = 0.1688
组合 (angle80, pitch70)：AP@0.5 = 0.1364
组合 (angle100, pitch70)：AP@0.5 = 0.0478
组合 (angle120, pitch70)：AP@0.5 = 0.1326
组合 (angle140, pitch70)：AP@0.5 = 0.1780
组合 (angle160, pitch70)：AP@0.5 = 0.1765
组合 (angle180, pitch70)：AP@0.5 = 0.1818
组合 (angle200, pitch70)：AP@0.5 = 0.1660
组合 (angle220, pitch70)：AP@0.5 = 0.1818
组合 (angle240, pitch70)：AP@0.5 = 0.1527
组合 (angle260, pitch70)：AP@0.5 = 0.0909
组合 (angle280, pitch70)：AP@0.5 = 0.0909
组合 (angle300, pitch70)：AP@0.5 = 0.1775
组合 (angle320, pitch70)：AP@0.5 = 0.1503
组合 (angle340, pitch70)：AP@0.5 = 0.1473
组合 (angle0, pitch80)：AP@0.5 = 0.1694
组合 (angle20, pitch80)：AP@0.5 = 0.1364
组合 (angle40, pitch80)：AP@0.5 = 0.1320
组合 (angle60, pitch80)：AP@0.5 = 0.1722
组合 (angle80, pitch80)：AP@0.5 = 0.0455
组合 (angle100, pitch80)：AP@0.5 = 0.0909
组合 (angle120, pitch80)：AP@0.5 = 0.0909
组合 (angle140, pitch80)：AP@0.5 = 0.1313
组合 (angle160, pitch80)：AP@0.5 = 0.1268
组合 (angle180, pitch80)：AP@0.5 = 0.1660
组合 (angle200, pitch80)：AP@0.5 = 0.0909
组合 (angle220, pitch80)：AP@0.5 = 0.1553
组合 (angle240, pitch80)：AP@0.5 = 0.0909
组合 (angle260, pitch80)：AP@0.5 = 0.0000
组合 (angle280, pitch80)：AP@0.5 = 0.0909
组合 (angle300, pitch80)：AP@0.5 = 0.0909
组合 (angle320, pitch80)：AP@0.5 = 0.0909
组合 (angle340, pitch80)：AP@0.5 = 0.1408
组合 (angle0, pitch89)：AP@0.5 = 0.1645
组合 (angle20, pitch89)：AP@0.5 = 0.0909
组合 (angle40, pitch89)：AP@0.5 = 0.1286
组合 (angle60, pitch89)：AP@0.5 = 0.0909
组合 (angle80, pitch89)：AP@0.5 = 0.0909
组合 (angle100, pitch89)：AP@0.5 = 0.0031
组合 (angle120, pitch89)：AP@0.5 = 0.0909
组合 (angle140, pitch89)：AP@0.5 = 0.0909
组合 (angle160, pitch89)：AP@0.5 = 0.0303
组合 (angle180, pitch89)：AP@0.5 = 0.1727
组合 (angle200, pitch89)：AP@0.5 = 0.0779
组合 (angle220, pitch89)：AP@0.5 = 0.0909
组合 (angle240, pitch89)：AP@0.5 = 0.0909
组合 (angle260, pitch89)：AP@0.5 = 0.0000
组合 (angle280, pitch89)：AP@0.5 = 0.0909
组合 (angle300, pitch89)：AP@0.5 = 0.0909
组合 (angle320, pitch89)：AP@0.5 = 0.0413
组合 (angle340, pitch89)：AP@0.5 = 0.0909

【方法：das】
组合 (angle0, pitch5)：AP@0.5 = 0.9657
组合 (angle20, pitch5)：AP@0.5 = 0.9620
组合 (angle40, pitch5)：AP@0.5 = 0.9727
组合 (angle60, pitch5)：AP@0.5 = 0.9429
组合 (angle80, pitch5)：AP@0.5 = 0.8567
组合 (angle100, pitch5)：AP@0.5 = 0.8677
组合 (angle120, pitch5)：AP@0.5 = 0.9223
组合 (angle140, pitch5)：AP@0.5 = 0.8794
组合 (angle160, pitch5)：AP@0.5 = 0.8105
组合 (angle180, pitch5)：AP@0.5 = 0.9084
组合 (angle200, pitch5)：AP@0.5 = 0.8015
组合 (angle220, pitch5)：AP@0.5 = 0.8919
组合 (angle240, pitch5)：AP@0.5 = 0.5793
